entry_date,entry_price,stop,target,exit_date,exit_price,R_multiple,exit_reason,zone_triggered,period
2024-08-16 17:30:00+00:00,70.01,69.54338047873026,70.9432390425395,2024-08-16 18:30:00+00:00,69.03338047873025,-2.0929675608345977,stop_hit,,train
2024-08-19 14:30:00+00:00,70.62,70.15711252741083,71.54577494517835,2024-08-19 15:30:00+00:00,69.64711252741083,-2.1017796553173205,stop_hit,,train
2024-08-19 18:30:00+00:00,70.88000000000001,70.46478604996307,71.7104279000739,2024-08-19 19:30:00+00:00,69.95478604996306,-2.2282824311529725,stop_hit,,train
2025-03-25 16:30:00+00:00,72.02000000000001,71.74489933477543,72.57020133044918,2025-03-25 17:30:00+00:00,71.23489933477542,-2.8538668366492486,stop_hit,h_ema21,holdout
2025-04-25 16:30:00+00:00,70.98,70.51341318008302,71.91317363983397,2025-04-25 17:30:00+00:00,70.00341318008302,-2.0930441629078715,stop_hit,,holdout
2025-04-28 14:30:00+00:00,71.72,71.24922315640909,72.66155368718182,2025-04-28 15:30:00+00:00,70.73922315640908,-2.0833158150046502,stop_hit,,holdout
2025-04-28 18:30:00+00:00,72.05000000000001,71.60135080617972,72.94729838764059,2025-04-30 13:30:00+00:00,71.09135080617972,-2.136745606644938,stop_hit,,holdout
2025-05-06 14:30:00+00:00,73.16000000000001,72.78333651893935,73.91332696212133,2025-05-06 15:30:00+00:00,72.27333651893935,-2.353993752099029,stop_hit,,holdout
2025-12-30 16:30:00+00:00,81.75,81.51722308932806,82.21555382134389,2025-12-30 17:30:00+00:00,81.00722308932805,-3.190938948918155,stop_hit,ema100,holdout
2026-04-17 14:30:00+00:00,91.14,90.55964389018546,92.30071221962909,2026-04-17 15:30:00+00:00,90.04964389018545,-1.8787707949916777,stop_hit,,holdout
